Source,Station,Latitude,Longitude,Date,Datetime,Chlorophyll,DissAmmonia,DissNitrateNitrite,DOC,DissOrthophos
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1981-09-23,1981-09-23T17:00:00Z,NA,0.25,0.1,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2009-04-08,2009-04-08T18:30:00Z,NA,NA,1.3,NA,0.07
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2009-08-31,2009-08-31T17:30:00Z,NA,NA,1.35,NA,0.09
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1982-07-22,1982-07-22T21:00:00Z,NA,0.2,1.1,NA,0.1
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1982-09-29,1982-09-29T17:30:00Z,NA,0.1,0.12,NA,0.05
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2009-03-24,2009-03-24T19:30:00Z,NA,0.01,0.208,2.04,0.039
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2009-05-20,2009-05-20T19:40:00Z,NA,NA,0.49,NA,0.04
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2009-03-25,2009-03-25T17:20:00Z,NA,0.01,1.32,NA,0.09
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1993-07-13,1993-07-13T19:45:00Z,NA,0.02,1.9,NA,0.1
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1993-05-25,1993-05-25T20:30:00Z,NA,0.06,1.4,NA,0.09
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1982-09-20,1982-09-20T19:45:00Z,NA,0.15,0.56,NA,0.05
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2009-08-18,2009-08-18T16:45:00Z,NA,NA,1.36,2.62,0.08
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1982-07-21,1982-07-21T17:00:00Z,NA,0.12,0.12,NA,0.05
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1982-05-19,1982-05-19T17:15:00Z,NA,0.09,0.1,NA,0.03
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1983-09-23,1983-09-23T18:45:00Z,NA,0.12,0.43,NA,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2016-05-12,2016-05-12T18:30:00Z,NA,0.01,0.14,1.85,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1997-07-14,1997-07-14T19:30:00Z,NA,NA,0.07,1.5,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1983-09-21,1983-09-21T17:10:00Z,NA,0.01,0.12,NA,0.03
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1993-09-07,1993-09-07T23:00:00Z,NA,0.03,0.86,3.9,0.08
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2013-07-29,2013-07-29T19:30:00Z,NA,0.01,NA,1.61,0.03
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1983-05-09,1983-05-09T20:45:00Z,NA,0.12,0.25,NA,0.05
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1983-07-26,1983-07-26T20:00:00Z,NA,0.14,0.73,NA,0.04
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1983-06-08,1983-06-08T17:15:00Z,NA,NA,NA,NA,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1984-06-13,1984-06-13T18:15:00Z,NA,0.03,0.1,NA,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1984-08-30,1984-08-30T19:15:00Z,NA,NA,NA,NA,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2002-07-17,2002-07-17T19:10:00Z,NA,NA,0.03,1.46,0.01
